epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,249.159,1.05646,3.41555,1.39059,0.01396,0.75,0.302,0.1023,1.44725,4.90152,1.92392,5.22391e-05,5.22391e-05,5.22391e-05
41,255.444,1.21845,4.02593,1.86415,0.01334,0.75,0.31546,0.13,1.43513,4.93558,1.91277,4.89216e-05,4.89216e-05,4.89216e-05
42,261.863,1.19328,3.84654,1.89227,0.01334,0.75,0.31546,0.13,1.43513,4.93558,1.91277,4.53713e-05,4.53713e-05,4.53713e-05
43,267.883,1.06395,3.97078,1.62488,0.01331,0.75,0.31686,0.13275,1.45525,4.91955,1.8851,4.15881e-05,4.15881e-05,4.15881e-05
44,274.058,1.07545,3.72429,1.65759,0.01331,0.75,0.31686,0.13275,1.45525,4.91955,1.8851,3.7572e-05,3.7572e-05,3.7572e-05
45,280.229,1.06041,3.73716,1.67814,0.01387,0.75,0.31871,0.15307,1.44174,4.94931,1.87084,3.33231e-05,3.33231e-05,3.33231e-05
46,286.774,1.36813,3.95598,1.93448,0.01387,0.75,0.31871,0.15307,1.44174,4.94931,1.87084,2.88414e-05,2.88414e-05,2.88414e-05
47,293.356,1.19839,3.73946,1.88761,0.01385,0.75,0.32089,0.15423,1.4189,4.94818,1.85743,2.41268e-05,2.41268e-05,2.41268e-05
48,299.352,0.86397,3.67758,1.42622,0.01385,0.75,0.32089,0.15423,1.4189,4.94818,1.85743,1.91794e-05,1.91794e-05,1.91794e-05
49,306.052,0.98819,3.85406,1.60843,0.01382,0.75,0.31094,0.14552,1.41618,4.95068,1.85932,1.39991e-05,1.39991e-05,1.39991e-05
50,312.236,1.00632,3.81164,1.59315,0.01382,0.75,0.31094,0.14552,1.41618,4.95068,1.85932,8.58598e-06,8.58598e-06,8.58598e-06
